"","ID Monitoreo","Fecha","Personal","Código","Código control","Tratamiento","Agua inicial","Altura","Crecimiento","Tasa de crecimiento","Tasa de crecimiento acumulada","Herviboría","Estado","Nuevas hojas","Flores","Frutos","Diámetro","Zona","Familia","Genero","Especie","Nombre común","Isla","Sitio específico","Latitud","Longitud","Sustrato","Altitud","Proyecto","Subproyecto","DAP","PlantingDate","cc","age"
"11",NA,2021-01-01,"Investigador",353,243,"Waterboxx®",NA,800,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299451,-90.447305,"Humífero",353.65,"Restauración ecológica","Restauración rural",11.45912911,2013-10-16,17.7030734997603,7.21643835616438
"12",NA,2021-01-01,"Investigador",364,787,"Waterboxx®",NA,700,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299419,-90.44746,"Humífero",332.27,"Restauración ecológica","Restauración rural",10.50420168,2013-12-26,15.5623840321064,7.02191780821918
"13",NA,2021-01-01,"Investigador",366,789,"Waterboxx®",NA,720,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299418,-90.44738,"Humífero",331.94,"Restauración ecológica","Restauración rural",11.14081996,2013-12-26,16.9895103289308,7.02191780821918
"14",NA,2021-01-01,"Investigador",367,240,"Waterboxx®",NA,725,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299422,-90.447368,"Humífero",333.84,"Restauración ecológica","Restauración rural",8.59434683,2013-12-26,11.2810051192159,7.02191780821918
"15",NA,2021-01-01,"Investigador",371,259,"Waterboxx®",NA,792,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299416,-90.447229,"Humífero",335.67,"Restauración ecológica","Restauración rural",6.366182837,2013-12-26,6.28606305118801,7.02191780821918
"16",NA,2021-01-01,"Investigador",375,275,"Waterboxx®",NA,725,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299426,-90.44715,"Humífero",337.41,"Restauración ecológica","Restauración rural",10.18589254,2013-12-12,14.8488208836942,7.06027397260274
"17",NA,2021-01-01,"Investigador",376,276,"Waterboxx®",NA,660,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.2995,-90.447133,"Humífero",337.73,"Restauración ecológica","Restauración rural",9.867583397,2013-12-26,14.1352577285568,7.02191780821918
"18",NA,2021-01-01,"Investigador",377,336,"Waterboxx®",NA,665,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299486,-90.447149,"Humífero",338.06,"Restauración ecológica","Restauración rural",8.59434683,2013-12-26,11.2810051192159,7.02191780821918
"19",NA,2021-01-01,"Investigador",382,315,"Waterboxx®",NA,800,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299472,-90.447267,"Humífero",339.05,"Restauración ecológica","Restauración rural",8.276037688,2013-12-12,10.5674419663202,7.06027397260274
"20",NA,2021-01-01,"Investigador",383,347,"Waterboxx®",NA,810,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299463,-90.447298,"Humífero",339.18,"Restauración ecológica","Restauración rural",14.00560224,2013-12-26,23.4115787094752,7.02191780821918
