"","Altura","age","Est.DAP"
"60",19,0.0383561643835616,1.28327387827945
"61",20,0.0767123287671233,1.17212134010959
"62",20,0.115068493150685,1.07618185416438
"63",27.7,0.153424657534247,0.865627245299726
"64",30,0.191780821917808,0.736545311041096
"65",32,0.23013698630137,0.612366196153425
"66",35,0.268493150684932,0.474067266794521
"67",37,0.306849315068493,0.350872065884931
"68",41,0.345205479452055,0.199437236032877
"69",43,0.383561643835616,0.0773352728767124
"70",48,0.421917808219178,0.0866888385917809
"71",48.5,0.46027397260274,0.186572504175343
"72",51,0.498630136986301,0.314149179824658
"73",53,0.536986301369863,0.434283315024658
"74",57,0.578082191780822,0.587909087167123
"75",59,0.616438356164384,0.706934366931507
"76",60,0.652054794520548,0.805525821835616
"77",23,0,1.318033184
"78",23,0.0383561643835616,1.22242166938082
"79",23,0.073972602739726,1.13363954866301
"80",30,0.112328767123288,0.933012539438356
"81",32,0.153424657534247,0.801621397435616
"82",32.5,0.227397260273973,0.611788189390411
"83",33,0.268493150684932,0.503181485939726
"84",33.5,0.304109589041096,0.408186717245205
"85",34.5,0.342465753424658,0.29937683140411
"86",35,0.383561643835616,0.191168378849315
"87",50,0.419178082191781,0.108309912342466
"88",59,0.457534246575342,0.327134380860274
"89",97,0.536986301369863,1.0411244134137
"90",465,2.1013698630137,8.04529567506849
"91",500,2.98904109589041,9.37783334620548
"92",500,3.3972602739726,9.84041527430137
"93",500,3.62465753424658,10.0980951402877
"94",500,4.35342465753425,10.9239125421233
"95",500,4.83013698630137,11.4641088876849
"96",16,0,1.425289816
"97",20,0.0383561643835616,1.26806082605479
"98",23,0.0767123287671233,1.12681015476164
"99",28,0.115068493150685,0.956226616772603
"100",30,0.153424657534247,0.831391559232877
"101",32,0.191780821917808,0.706993796794521
"102",35.5,0.23013698630137,0.561033679435617
"103",38,0.268493150684932,0.430395938076712
"104",40,0.306849315068493,0.307528708493151
"105",43,0.345205479452055,0.170760311989041
"106",43.5,0.421917808219178,0.023149673471233
"107",44,0.46027397260274,0.123525296043836
"108",44,0.498630136986301,0.216841011380822
"109",44,0.536986301369863,0.310156726717808
"110",44,0.578082191780822,0.410137850293151
"111",20.5,0.0767123287671233,1.16456947588493
"112",20.5,0.115068493150685,1.0686846518274
"113",21.5,0.153424657534247,0.957914746871233
"114",22,0.191780821917808,0.854751368027397
"115",22,0.23013698630137,0.759030529632877
"116",22,0.268493150684932,0.663309691238356
"117",22,0.306849315068493,0.567588852843836
"118",23,0.345205479452055,0.457529552427397
"119",23,0.383561643835616,0.361918037808219
"120",32.5,0.421917808219178,0.132168285712329
"121",32.5,0.46027397260274,0.0375953469589041
"122",32.5,0.501369863013699,0.0637328017054794
"123",37,0.53972602739726,0.220333894827397
"124",46,0.575342465753425,0.43083748079452
"125",53.5,0.613698630136986,0.625733515539726
"126",64,0.654794520547945,0.865890540528767
"127",80,0.728767123287671,1.25356337706849
"128",99,0.76986301369863,1.5987614678411
"129",100,0.805479452054795,1.69285503027397
"130",101.5,0.843835616438356,1.79942449360548
"131",102,0.884931506849315,1.89907055189863
"132",143,0.923287671232877,2.50636814684384
"133",145,0.958904109589041,2.60814703868493
"134",8,0,1.547868824
"135",9,0.0383561643835616,1.43540440052603
"136",12,0.0767123287671233,1.29295116770411
"137",17.5,0.115068493150685,1.11366786584932
"138",18,0.153424657534247,1.01001253001644
"139",20.5,0.191780821917808,0.876915003712329
"140",20.5,0.23013698630137,0.781030179654794
"141",24,0.268493150684932,0.634195472093151
"142",40,0.345205479452055,0.213775698054795
"143",57,0.383561643835616,0.121872662575342
"144",59,0.421917808219178,0.242006797775343
"145",80,0.46027397260274,0.627902961095891
"146",135,0.498630136986301,1.48184720115069
"147",142,0.53972602739726,1.6676574967589
"148",151,0.578082191780822,1.87333187687123
"149",160,0.613698630136986,2.07127884635616
"150",166,0.652054794520548,2.23269623466849
"151",12,0,1.48657932
