"","ID Monitoreo","Fecha","Personal","Código","Código control","Tratamiento","Agua inicial","Altura","Crecimiento","Tasa de crecimiento","Tasa de crecimiento acumulada","Herviboría","Estado","Nuevas hojas","Flores","Frutos","Diámetro","Zona","Familia","Genero","Especie","Nombre común","Observaciones","Isla","Sitio específico","Latitud","Longitud","Sustrato","Altitud","Proyecto","Subproyecto","DAP","PlantingDate","age"
"31",6612,2013-10-30,"Estalin Jiménez",234,787,"Waterboxx®",15,17.5,0.5,0.04,0.04,"No",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.0383561643835616
"32",7236,2013-11-13,"Estalin Jiménez",234,787,"Waterboxx®",15,18,0.5,0.04,0.04,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.0767123287671233
"33",7844,2013-11-27,"Estalin Jiménez",234,787,"Waterboxx®",15,19,1,0.07,0.05,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.115068493150685
"34",8575,2013-12-12,"Estalin Jiménez",234,787,"Waterboxx®",15,21,2,0.13,0.07,"Sí",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.156164383561644
"35",9126,2013-12-26,"Estalin Jiménez",234,787,"Waterboxx®",15,28,7,0.5,0.15,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.194520547945205
"36",9754,2014-01-08,"Estalin Jiménez",234,787,"Waterboxx®",15,35,7,0.54,0.21,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.23013698630137
"37",10430,2014-01-22,"Estalin Jiménez",234,787,"Waterboxx®",15,42,7,0.5,0.26,"Sí",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.268493150684932
"38",12310,2014-02-06,"Estalin Jiménez",234,787,"Waterboxx®",15,47,5,0.33,0.27,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.30958904109589
"39",12311,2014-03-05,"Estalin Jiménez",234,787,"Waterboxx®",15,77,30,1.11,0.43,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.383561643835616
"40",12312,2014-03-20,"Estalin Jiménez",234,787,"Waterboxx®",15,85,8,0.53,0.44,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.424657534246575
