Codigo,Fecha,Personal,Equipo de Medida,Distancia,Angulo superior,Angulo inferior,Altura 1 (cm),Altura 2 (cm),Altura total (cm),Circunferencia Pecho (cm),DAP,Circunferencia Base (cm),DAB,Estado,Observaciones,Isla,Sitio específico,Latitud,Longitud,Altitud,
9762,29/4/2022,Pavel Enriqez,Clinómetro,500,60.7,17.9,890.99,179,1069.99,53.2,12.58447706,44.4,14.13296189,Bueno,"2 ramas: 35.2, 18",Santa Cruz,Finca Mario Piu,-0.70327,-90.353882,172.27,
9695,29/4/2022,Pavel Enriqez,Clinómetro,500,56.6,16,758.29,1.5,759.79,70.7,15.92010913,67,21.32676681,Bueno,"2 ramas: 36.4, 34.3",Santa Cruz,Finca Mario Piu,-0.702603,-90.354215,180.21,
9758,29/4/2022,Pavel Enriqez,Clinómetro,230,76.9,43,988.4,170,1158.4,84,15.51577044,58,18.46197724,Bueno,3 ramas (30/ 30/ 24),Santa Cruz,Finca Mario Piu,-0.703308,-90.354054,168.4,
9799,29/4/2022,Pavel Enriqez,Metro,,,,,,593,90,16.88543191,64,20.37183695,Bueno,3 ramas(23. 29. 38),Santa Cruz,Finca Mario Piu,-0.703258,-90.354128,172.94,
14333,29/4/2022,Pavel Enriqez,Metro,,,,,,282,35,6.437419057,16,5.092959239,Bueno,"3 ramas: 12, 11, 12",Santa Cruz,Finca Mario Piu,-0.703197,-90.355133,178.67,
9649,29/4/2022,Pavel Enriqez,Metro,,,,0,0,520,52.2,9.696912461,43,13.68732795,Bueno,"3 ramas: 20.2, 18, 14",Santa Cruz,Finca Mario Piu,-0.702605,-90.354477,174.65,
9774,29/4/2022,Pavel Enriqez,Clinómetro,500,35.7,17.2,359.29,233,592.29,70.5,13.05167575,48,15.27887772,Bueno,"3 ramas: 23.5, 20, 27",Santa Cruz,Finca Mario Piu,-0.703181,-90.353806,177.71,
9811,29/4/2022,Pavel Enriqez,Clinómetro,310,60.9,19.6,556.96,120,676.96,71,13.50849554,33,10.50422843,Bueno,"3 ramas: 26, 30, 15",Santa Cruz,Finca Mario Piu,-0.70312,-90.354186,173.56,
9756,29/4/2022,Pavel Enriqez,Clinómetro,480,65,32,1029.36,160,1189.36,86,15.85809502,56,17.82535733,Bueno,"3 ramas: 27, 32, 27",Santa Cruz,Finca Mario Piu,-0.703205,-90.354106,172,
9664,29/4/2022,Pavel Enriqez,Clinómetro,325,66.9,25.1,761.95,120,881.95,89.5,16.45772931,62,19.73521705,Bueno,"3 ramas: 28.5, 30, 31",Santa Cruz,Finca Mario Piu,-0.702967,-90.354537,169.91,
14368,29/4/2022,Pavel Enriqez,Metro,,,,,,277,44,7.10337592,16,5.092959239,Bueno,"4 ramas: 11, 13, 8, 12",Santa Cruz,Finca Mario Piu,-0.702979,-90.355842,171.37,
9660,29/4/2022,Pavel Enriqez,Metro,,,,,,490,70.5,10.49819592,37,11.77746824,Bueno,5 ramas (13.5 / 11.5 / 17 / 8 / 20.5),Santa Cruz,Finca Mario Piu,-0.702766,-90.354599,166.27,
9675,29/4/2022,Pavel Enriqez,Clinómetro,340,52.3,32.5,439.91,180,620,75,10.85525387,44,14.00563791,Bueno,"5 ramas: 17, 17, 17, 14, 10",Santa Cruz,Finca Mario Piu,-0.703117,-90.354406,170.48,
