Código,Código control,Fecha siembra,Tratamiento,RetiroTratamiento,Agua inicial,Zona,Familia,Genero,Especie,Nombre común,Isla,Sitio específico,Latitud,Longitud,Sustrato,Altitud,Proyecto,Subproyecto
347,0,29/5/2013,Control,30/10/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299466,-90.447454,Humífero,354.79,Restauración ecológica,Restauración rural
353,243,16/10/2013,Waterboxx®,26/6/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299451,-90.447305,Humífero,353.65,Restauración ecológica,Restauración rural
362,248,13/11/2013,Waterboxx®,26/6/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299544,-90.447167,Humífero,348.07,Restauración ecológica,Restauración rural
363,786,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299409,-90.447462,Humífero,331.66,Restauración ecológica,Restauración rural
364,787,26/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299419,-90.44746,Humífero,332.27,Restauración ecológica,Restauración rural
365,788,12/12/2013,Waterboxx®,6/2/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299409,-90.44744,Humífero,332.81,Restauración ecológica,Restauración rural
366,789,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299418,-90.44738,Humífero,331.94,Restauración ecológica,Restauración rural
367,240,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299422,-90.447368,Humífero,333.84,Restauración ecológica,Restauración rural
368,242,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299419,-90.447331,Humífero,334.13,Restauración ecológica,Restauración rural
369,244,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299419,-90.447296,Humífero,335.32,Restauración ecológica,Restauración rural
370,251,12/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299417,-90.447275,Humífero,334.42,Restauración ecológica,Restauración rural
371,259,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299416,-90.447229,Humífero,335.67,Restauración ecológica,Restauración rural
372,264,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299419,-90.447213,Humífero,336.46,Restauración ecológica,Restauración rural
373,274,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.29942,-90.447189,Humífero,336.87,Restauración ecológica,Restauración rural
374,275,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.29942,-90.447176,Humífero,337.44,Restauración ecológica,Restauración rural
375,275,12/12/2013,Waterboxx®,26/6/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299426,-90.44715,Humífero,337.41,Restauración ecológica,Restauración rural
376,276,26/12/2013,Waterboxx®,26/6/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.2995,-90.447133,Humífero,337.73,Restauración ecológica,Restauración rural
377,336,26/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299486,-90.447149,Humífero,338.06,Restauración ecológica,Restauración rural
378,332,12/12/2013,Waterboxx®,16/4/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299485,-90.447181,Humífero,337.96,Restauración ecológica,Restauración rural
379,332,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299472,-90.447204,Humífero,338.63,Restauración ecológica,Restauración rural
380,318,26/12/2013,Waterboxx®,26/6/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299477,-90.447229,Humífero,338.33,Restauración ecológica,Restauración rural
381,316,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299479,-90.447252,Humífero,339.11,Restauración ecológica,Restauración rural
382,315,12/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299472,-90.447267,Humífero,339.05,Restauración ecológica,Restauración rural
383,347,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299463,-90.447298,Humífero,339.18,Restauración ecológica,Restauración rural
